assetCode,name,category,location,status,installDate,model,manufacturer,serialNumber,description
BC02000142,3线冷却水循环机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC030002,3线工装夹具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC030003,3线芯子,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC030004,3线PCB工装,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001117,4线合并裁切机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000080,4线冷却水循环机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC040001,4线工装夹具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC040002,4线芯子,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC040003,4线PCB工装,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000888,4线激光剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02020008,4线低压注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02060015,4线自动焊接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000964,4线自动焊接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000926,4线拉拔绝缘切割机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050038,4线手动曲杆压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC040004,4线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000935,5线自动合盘切割机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02140041,5线拉拔绝缘切割机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02140035,5线激光剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05001019,5线自动焊接机1,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02060014,5线自动焊接机2,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050048,5线安全气动压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001012,5线后端自动化 (DUST CAP  震动盘),MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001010,5线后端自动化,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001011,5线后端自动化 (LONG SCEWS 震动盘),MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001208,5线后端自动化 (O型圈震动盘),MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000148,5线冷却水循环机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC050001,5线低压注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC050002,5线自动螺丝机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC050003,5线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC050004,5线工装夹具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC050005,5线芯子,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC050006,5线PCB工装,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001139,6线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000583,6线研华工控机IPC-510KB-300W（焊接机1）,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000584,6线大族双头激光剥线机SP-C02-501,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050056,6线安全气动压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05001047,6线桌面低压注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001204,6线HPC 高压注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000090,6线冷却水循环机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000582,6线研华工控机IPC-510KB-300W（焊接机2）,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC060001,6线拉拔岗位,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC060002,6线流水线轨道,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC060003,6线工装夹具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC060004,6线芯子,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC060005,6线PCB工装,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050036,7线UC200端子压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02140025,7线US2300剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050057,7线SC200端子压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC070001,7线PP3小端子机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05001046,7线切片分析仪,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02060012,8线 超声波焊接机 ,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02060009,8线USB3.0超声波焊接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
